Dt,id,day_of_week
2024-01-06,2618.0,Saturday
2024-01-07,2860.0,Sunday
2024-01-08,0.0,Monday
2024-01-09,0.0,Tuesday
2024-01-10,0.0,Wednesday
2024-01-11,0.0,Thursday
2024-01-12,0.0,Friday
2024-01-13,2611.0,Saturday
2024-01-14,2851.0,Sunday
2024-01-15,0.0,Monday
2024-01-16,0.0,Tuesday
2024-01-17,0.0,Wednesday
2024-01-18,0.0,Thursday
2024-01-19,0.0,Friday
2024-01-20,2602.0,Saturday
2024-01-21,2842.0,Sunday
2024-01-22,0.0,Monday
2024-01-23,0.0,Tuesday
2024-01-24,0.0,Wednesday
2024-01-25,0.0,Thursday
2024-01-26,0.0,Friday
2024-01-27,2592.0,Saturday
2024-01-28,2832.0,Sunday
